State,Label (Grouping),Count,Percent
AK,HISPANIC OR LATINO,,
AK,HISPANIC OR LATINO BY RACE,,
AK,HOUSEHOLDS BY TYPE,,
AK,HOUSING OCCUPANCY,,
AK,HOUSING TENURE,,
AK,MEDIAN AGE BY SEX,,
AK,RACE,,
AK,RELATIONSHIP,,
AK,SEX AND AGE,,
AK,TOTAL RACES TALLIED [1],,
AK,VACANCY RATES,,
AK,    Both sexes,35.6,(X)
AK,    Female,36.0,(X)
AK,    Female population,"351,974",100.0%
AK,    Homeowner vacancy rate (percent) [4],1.8,(X)
AK,    Male,35.3,(X)
AK,    Male population,"381,417",100.0%
AK,    Occupied housing units,"269,148",100.0%
AK,    Rental vacancy rate (percent) [5],9.3,(X)
AK,    Total households,"269,148",100.0%
AK,    Total housing units,"326,200",100.0%
AK,    Total population,"733,391",100.0%
AK,    Total population,"733,391",100.0%
AK,    Total population,"733,391",100.0%
AK,    Total population,"733,391",100.0%
AK,    Total population,"733,391",100.0%
AK,    Total races tallied,"832,273",113.5%
AK,        10 to 14 years,"51,344",7.0%
AK,        10 to 14 years,"26,665",7.0%
AK,        10 to 14 years,"24,679",7.0%
AK,        15 to 19 years,"47,433",6.5%
AK,        15 to 19 years,"24,972",6.5%
AK,        15 to 19 years,"22,461",6.4%
AK,        20 to 24 years,"49,456",6.7%
AK,        20 to 24 years,"27,648",7.2%
AK,        20 to 24 years,"21,808",6.2%
AK,        25 to 29 years,"55,058",7.5%
AK,        25 to 29 years,"28,971",7.6%
AK,        25 to 29 years,"26,087",7.4%
AK,        30 to 34 years,"56,981",7.8%
AK,        30 to 34 years,"29,668",7.8%
AK,        30 to 34 years,"27,313",7.8%
AK,        35 to 39 years,"53,934",7.4%
AK,        35 to 39 years,"28,305",7.4%
AK,        35 to 39 years,"25,629",7.3%
AK,        40 to 44 years,"44,452",6.1%
AK,        40 to 44 years,"23,252",6.1%
AK,        40 to 44 years,"21,200",6.0%
AK,        45 to 49 years,"41,800",5.7%
AK,        45 to 49 years,"21,673",5.7%
AK,        45 to 49 years,"20,127",5.7%
AK,        5 to 9 years,"51,054",7.0%
AK,        5 to 9 years,"26,134",6.9%
AK,        5 to 9 years,"24,920",7.1%
AK,        50 to 54 years,"43,034",5.9%
AK,        50 to 54 years,"22,368",5.9%
AK,        50 to 54 years,"20,666",5.9%
AK,        55 to 59 years,"48,331",6.6%
AK,        55 to 59 years,"25,150",6.6%
AK,        55 to 59 years,"23,181",6.6%
AK,        60 to 64 years,"47,225",6.4%
AK,        60 to 64 years,"24,170",6.3%
AK,        60 to 64 years,"23,055",6.6%
AK,        65 to 69 years,"38,810",5.3%
AK,        65 to 69 years,"19,950",5.2%
AK,        65 to 69 years,"18,860",5.4%
AK,        70 to 74 years,"26,387",3.6%
AK,        70 to 74 years,"13,629",3.6%
AK,        70 to 74 years,"12,758",3.6%
AK,        75 to 79 years,"15,349",2.1%
AK,        75 to 79 years,"7,601",2.0%
AK,        75 to 79 years,"7,748",2.2%
AK,        80 to 84 years,"8,120",1.1%
AK,        80 to 84 years,"3,823",1.0%
AK,        80 to 84 years,"4,297",1.2%
AK,        85 years and over,"6,519",0.9%
AK,        85 years and over,"2,577",0.7%
AK,        85 years and over,"3,942",1.1%
AK,        American Indian and Alaska Native alone or in combination with one or more other races,"160,287",21.9%
AK,        Asian alone or in combination with one or more other races,"61,460",8.4%
AK,        Black or African American alone or in combination with one or more other races,"35,454",4.8%
AK,        Cohabiting couple household,"22,712",8.4%
AK,"        Female householder, no spouse or partner present:","61,042",22.7%
AK,        Hispanic or Latino,"49,824",6.8%
AK,        Hispanic or Latino (of any race),"49,824",6.8%
AK,        Households with individuals 65 years and over,"71,419",26.5%
AK,        Households with individuals under 18 years,"88,953",33.0%
AK,        In group quarters,"30,291",4.1%
AK,        In households,"703,100",95.9%
AK,"        Male householder, no spouse or partner present:","59,446",22.1%
AK,        Married couple household,"125,948",46.8%
AK,        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,"18,668",2.5%
AK,        Not Hispanic or Latino,"683,567",93.2%
AK,        Not Hispanic or Latino,"683,567",93.2%
AK,        Occupied housing units,"269,148",82.5%
AK,        One Race,"643,867",87.8%
AK,        Owner-occupied housing units,"172,008",63.9%
AK,        Renter-occupied housing units,"97,140",36.1%
AK,        Selected Age Categories,,
AK,        Selected Age Categories,,
AK,        Selected Age Categories,,
AK,        Some Other Race alone or in combination with one or more other races,"39,879",5.4%
AK,        Two or More Races,"89,524",12.2%
AK,        Under 5 years,"48,104",6.6%
AK,        Under 5 years,"24,861",6.5%
AK,        Under 5 years,"23,243",6.6%
AK,        Vacant housing units,"57,052",17.5%
AK,        White alone or in combination with one or more other races,"516,525",70.4%
AK,            16 years and over,"573,118",78.1%
AK,            16 years and over,"298,754",78.3%
AK,            16 years and over,"274,364",78.0%
AK,            18 years and over,"554,003",75.5%
AK,            18 years and over,"288,823",75.7%
AK,            18 years and over,"265,180",75.3%
AK,            21 years and over,"525,403",71.6%
AK,            21 years and over,"273,090",71.6%
AK,            21 years and over,"252,313",71.7%
AK,            62 years and over,"122,696",16.7%
AK,            62 years and over,"61,573",16.1%
AK,            62 years and over,"61,123",17.4%
AK,            65 years and over,"95,185",13.0%
AK,            65 years and over,"47,580",12.5%
AK,            65 years and over,"47,605",13.5%
AK,            All other vacants,"11,681",3.6%
AK,            American Indian and Alaska Native,"111,575",15.2%
AK,            American Indian and Alaska Native alone,"2,737",0.4%
AK,            American Indian and Alaska Native alone,"108,838",14.8%
AK,            Asian,"44,032",6.0%
AK,            Asian alone,583,0.1%
AK,            Asian alone,"43,449",5.9%
AK,            Black or African American,"21,898",3.0%
AK,            Black or African American alone,"1,167",0.2%
AK,            Black or African American alone,"20,731",2.8%
AK,            Child [2],"210,052",28.6%
AK,            For rent,"10,070",3.1%
AK,            For sale only,"3,152",1.0%
AK,"            For seasonal, recreational, or occasional use","29,722",9.1%
AK,            Grandchild,"17,491",2.4%
AK,            Householder,"269,275",36.7%
AK,            Institutionalized population:,"7,177",1.0%
AK,            Living alone,"40,885",15.2%
AK,            Living alone,"32,796",12.2%
AK,            Native Hawaiian and Other Pacific Islander,"12,698",1.7%
AK,            Native Hawaiian and Other Pacific Islander alone,243,0.0%
AK,            Native Hawaiian and Other Pacific Islander alone,"12,455",1.7%
AK,            Noninstitutionalized population:,"23,114",3.2%
AK,            Nonrelatives,"28,173",3.8%
AK,            Opposite-sex spouse,"124,709",17.0%
AK,            Opposite-sex unmarried partner,"21,933",3.0%
AK,            Other relatives,"29,381",4.0%
AK,"            Rented, not occupied","1,244",0.4%
AK,            Same-sex spouse,"1,259",0.2%
AK,            Same-sex unmarried partner,827,0.1%
AK,"            Sold, not occupied","1,183",0.4%
AK,            Some Other Race,"18,272",2.5%
AK,            Some Other Race alone,"13,697",1.9%
AK,            Some Other Race alone,"4,575",0.6%
AK,            Two or More Races,"17,763",2.4%
AK,            Two or More Races,"71,761",9.8%
AK,            White,"435,392",59.4%
AK,            White alone,"13,634",1.9%
AK,            White alone,"421,758",57.5%
AK,            With own children under 18 [3],"51,804",19.2%
AK,            With own children under 18 [3],"7,960",3.0%
AK,            With own children under 18 [3],"5,700",2.1%
AK,            With own children under 18 [3],"12,103",4.5%
AK,                65 years and over,"10,703",4.0%
AK,                65 years and over,"12,541",4.7%
AK,                Female,"1,715",0.2%
AK,                Female,"5,672",0.8%
AK,                Male,"5,462",0.7%
AK,                Male,"17,442",2.4%
AK,                Under 18 years,"155,054",21.1%
AK,                Under 18 years,"13,996",1.9%
AL,HISPANIC OR LATINO,,
AL,HISPANIC OR LATINO BY RACE,,
AL,HOUSEHOLDS BY TYPE,,
AL,HOUSING OCCUPANCY,,
AL,HOUSING TENURE,,
AL,MEDIAN AGE BY SEX,,
AL,RACE,,
AL,RELATIONSHIP,,
AL,SEX AND AGE,,
AL,TOTAL RACES TALLIED [1],,
AL,VACANCY RATES,,
AL,    Both sexes,39.7,(X)
AL,    Female,40.8,(X)
AL,    Female population,"2,597,435",100.0%
AL,    Homeowner vacancy rate (percent) [4],1.6,(X)
AL,    Male,38.4,(X)
AL,    Male population,"2,426,844",100.0%
AL,    Occupied housing units,"2,011,947",100.0%
AL,    Rental vacancy rate (percent) [5],9.8,(X)
AL,    Total households,"2,011,947",100.0%
AL,    Total housing units,"2,288,330",100.0%
AL,    Total population,"5,024,279",100.0%
AL,    Total population,"5,024,279",100.0%
AL,    Total population,"5,024,279",100.0%
AL,    Total population,"5,024,279",100.0%
AL,    Total population,"5,024,279",100.0%
AL,    Total races tallied,"5,296,304",105.4%
AL,        10 to 14 years,"325,031",6.5%
AL,        10 to 14 years,"165,911",6.8%
AL,        10 to 14 years,"159,120",6.1%
AL,        15 to 19 years,"338,475",6.7%
AL,        15 to 19 years,"170,119",7.0%
AL,        15 to 19 years,"168,356",6.5%
AL,        20 to 24 years,"345,931",6.9%
AL,        20 to 24 years,"170,130",7.0%
AL,        20 to 24 years,"175,801",6.8%
AL,        25 to 29 years,"314,244",6.3%
AL,        25 to 29 years,"153,924",6.3%
AL,        25 to 29 years,"160,320",6.2%
AL,        30 to 34 years,"311,116",6.2%
AL,        30 to 34 years,"150,743",6.2%
AL,        30 to 34 years,"160,373",6.2%
AL,        35 to 39 years,"309,023",6.2%
AL,        35 to 39 years,"149,359",6.2%
AL,        35 to 39 years,"159,664",6.1%
AL,        40 to 44 years,"299,942",6.0%
AL,        40 to 44 years,"145,334",6.0%
AL,        40 to 44 years,"154,608",6.0%
AL,        45 to 49 years,"311,701",6.2%
AL,        45 to 49 years,"151,946",6.3%
AL,        45 to 49 years,"159,755",6.2%
AL,        5 to 9 years,"302,637",6.0%
AL,        5 to 9 years,"154,192",6.4%
AL,        5 to 9 years,"148,445",5.7%
AL,        50 to 54 years,"314,904",6.3%
AL,        50 to 54 years,"153,401",6.3%
AL,        50 to 54 years,"161,503",6.2%
AL,        55 to 59 years,"343,922",6.8%
AL,        55 to 59 years,"165,902",6.8%
AL,        55 to 59 years,"178,020",6.9%
AL,        60 to 64 years,"336,101",6.7%
AL,        60 to 64 years,"159,883",6.6%
AL,        60 to 64 years,"176,218",6.8%
AL,        65 to 69 years,"291,073",5.8%
AL,        65 to 69 years,"135,921",5.6%
AL,        65 to 69 years,"155,152",6.0%
AL,        70 to 74 years,"240,105",4.8%
AL,        70 to 74 years,"110,101",4.5%
AL,        70 to 74 years,"130,004",5.0%
AL,        75 to 79 years,"160,143",3.2%
AL,        75 to 79 years,"70,663",2.9%
AL,        75 to 79 years,"89,480",3.4%
AL,        80 to 84 years,"102,657",2.0%
AL,        80 to 84 years,"41,956",1.7%
AL,        80 to 84 years,"60,701",2.3%
AL,        85 years and over,"90,745",1.8%
AL,        85 years and over,"30,841",1.3%
AL,        85 years and over,"59,904",2.3%
AL,        American Indian and Alaska Native alone or in combination with one or more other races,"131,030",2.6%
AL,        Asian alone or in combination with one or more other races,"102,777",2.0%
AL,        Black or African American alone or in combination with one or more other races,"1,364,736",27.2%
AL,        Cohabiting couple household,"103,209",5.1%
AL,"        Female householder, no spouse or partner present:","627,906",31.2%
AL,        Hispanic or Latino,"264,047",5.3%
AL,        Hispanic or Latino (of any race),"264,047",5.3%
AL,        Households with individuals 65 years and over,"640,968",31.9%
AL,        Households with individuals under 18 years,"598,162",29.7%
AL,        In group quarters,"127,934",2.5%
AL,        In households,"4,896,345",97.5%
AL,"        Male householder, no spouse or partner present:","383,213",19.0%
AL,        Married couple household,"897,619",44.6%
AL,        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,"7,479",0.1%
AL,        Not Hispanic or Latino,"4,760,232",94.7%
